Fecha,Cartas nacionales,Cartas internacionales salientes,Cartas internacionales entrantes,Cartas totales,Paquetes nacionales,Paquetes internacionales salientes,Paquetes internacionales entrantes,Paquetes totales
2018-01-31,9239759,163112,45000,9447871,431171,4059,21105,456335
2018-02-28,8146260,162002,43314,8351576,420001,4011,20297,444309
2018-03-31,8371484,190945,44958,8607387,483712,4129,22238,510079
2018-04-30,8917442,211908,43934,9173284,514467,4148,22185,540800
2018-05-31,8304668,223203,43061,8570932,539008,4870,22191,566069
2018-06-30,8194494,205190,42270,8441954,547379,4085,21817,573281
2018-07-31,8851324,210389,44228,9105941,518737,3900,20719,543356
2018-08-31,8460911,147343,42971,8651225,544377,4017,21734,570128
2018-09-30,8094531,134910,42766,8272207,491791,3625,19758,515174
2018-10-31,8512440,140280,43294,8696014,503984,4048,18779,526811
2018-11-30,8259962,140206,42284,8442452,517814,3738,18777,540329
2019-12-31,7843248,72434,42671,7958353,493588,3485,32098,529171
2019-01-31,8709027,132035,43203,8884265,449703,3725,20285,473713
2019-02-28,7954961,142522,41864,8139347,464094,3190,19794,487078
2019-03-31,7639602,142395,42324,7824321,514612,17023,20069,551704
2019-04-30,8109674,142405,41883,8293962,467262,3667,20813,491742
2019-05-31,8553919,143349,42513,8739781,560715,3960,20212,584887
2019-06-30,7611450,121895,41262,7774607,518910,3287,18961,541158
2019-07-31,8611544,135579,42090,8789213,538871,3720,19287,561878
2019-08-31,8551539,139141,42568,8733248,515560,3978,19461,538999
2019-09-30,7785470,129150,41032,7955652,511344,3712,17238,532294
2019-10-31,8101205,119872,41914,8262991,522379,3752,17321,543452
2019-11-30,7552007,136415,43030,7731452,520913,3807,18066,542786
2020-12-31,7598226,141025,43509,7782760,586613,4178,27183,617974
2020-01-31,8168761,149112,41121,8358994,487290,3639,18060,508989
2020-02-29,7143727,81061,28730,7253518,478247,3285,14158,495690
2020-03-31,7284015,92355,24866,7401236,496251,3137,15140,514528
2020-04-30,6608741,11521,11646,6631908,472422,1970,9134,483526
2020-05-31,6675795,43100,24694,6743589,634247,2791,14386,651424
2020-06-30,6783621,25900,22397,6831918,808171,3336,18606,830113
2020-07-31,7606839,44907,27817,7679563,783910,3722,21390,809022
2020-08-31,6874851,44973,26671,6946495,700496,4071,19958,724525
2020-09-30,6653700,83915,30677,6768292,695437,4287,19145,718869
2020-10-31,6847408,78433,23149,6948990,694939,4496,20404,719839
2020-11-30,6880094,43131,24628,6947853,661984,4260,24727,690971
2021-12-31,7131079,57333,26626,7215038,835330,5546,32364,873240
2021-01-31,6620587,14987,53459,6689033,685873,5034,21367,712274
2021-02-28,6563924,20733,47963,6632620,676014,5501,17277,698792
2021-03-31,6942414,22525,60768,7025707,867178,6524,22552,896254
2021-04-30,6521480,15175,68861,6605516,797044,6218,20266,823528
2021-05-31,6719584,26460,54474,6800518,801570,6515,21550,829635
2021-06-30,6568922,12803,61911,6643636,923848,7390,21469,952707
2021-07-31,7030349,20398,62764,7113511,898910,7953,22114,928977
2021-08-31,6622347,19886,72959,6715192,807568,7801,25057,840426
2021-09-30,6390427,12203,66200,6468830,804045,7104,22907,834056
2021-10-31,6169346,14730,42928,6227004,783822,6996,22375,813193
2021-11-30,6197547,21383,55890,6274820,832524,7827,21767,862118
2022-12-31,6369458,22801,50550,6442809,940491,8009,33773,982273
2022-01-31,6558106,14551,53892,6626549,720945,5489,23774,750208
2022-02-28,5764238,15672,73891,5853801,780261,5111,20074,805446
2022-03-31,6271399,24180,45887,6341466,893976,6437,25127,925540
2022-04-30,5916278,34137,38131,5988546,781278,6458,21817,809553
2022-05-31,5893892,20807,40648,5955347,940887,6936,24517,972340
2022-06-30,6070218,20135,40702,6130955,1001260,6880,25058,1033198
2022-07-31,6075618,23039,38325,6136982,953160,5925,25485,984570
2022-08-31,6689029,26208,41274,6756511,946328,6348,25420,978096
2022-09-30,6208321,39785,47786,6295892,910747,6226,24614,941587
2022-10-31,5534670,25374,33432,5593476,942826,6475,24451,973752
2022-11-30,5693590,31947,42927,5768464,1031116,6179,23312,1060607
2023-12-31,5677974,31127,49542,5758643,1035101,6323,37656,1079080
2023-01-31,6098638,15775,27748,6142161,921974,5950,44515,972439
2023-02-28,5611067,14039,22860,5647966,970419,4909,31796,1007124
2023-03-31,6053060,13509,26204,6092773,1074765,9201,36891,1120857
2023-04-30,5294636,12351,29563,5336550,854271,4877,30458,889606
2023-05-31,5834114,17964,42444,5894522,1003913,9765,40127,1053805
2023-06-30,5654698,13496,68340,5736534,1085745,5346,30522,1121613
